"condition","n","mean_attempted","sd_attempted","median_attempted","min_attempted","max_attempted","mean_accuracy","sd_accuracy","median_accuracy","min_accuracy","max_accuracy","mean_correct","sd_correct","mean_rt_ms","sd_rt_ms"
"gain",12,15.4166666666667,3.62963392427424,15.5,9,23,0.864064347208108,0.150024560017836,0.934873949579832,0.615384615384615,1,13.5833333333333,4.5618643185222,NA,NA
"loss",12,17.5833333333333,5.80686636402948,17,10,30,0.863906926406926,0.119355728974486,0.883333333333333,0.636363636363636,1,15.5833333333333,6.6120871870913,NA,NA
